Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios
46066;Benirredrà;0.8;76.6;0.7875479964470794;1576.0;16284.0;58.0;0.0;11.0;11.0;3.0;11.0;23.0;3.0;3.0;3.0;50.0
46067;Benissanó;0.8;76.6;0.6185419545502836;2449.0;13316.0;156.0;6.0;18.0;37.0;3.0;32.0;61.0;3.0;17.0;18.0;110.0
46068;Benissoda;0.8;76.6;0.6338913552349474;494.0;13240.0;18.0;0.0;3.0;3.0;0.0;3.0;9.0;0.0;8.0;0.0;10.0
46069;Benissuera;0.8;76.6;0.5843758638634243;196.0;14238.0;8.0;0.0;3.0;3.0;0.0;3.0;3.0;0.0;3.0;3.0;3.0
46070;Bétera;0.8;76.6;0.7689726088232607;28560.0;17430.0;1243.0;47.0;160.0;281.0;40.0;209.0;506.0;19.0;112.0;98.0;993.0
46071;Bicorp;0.8;76.6;0.5742661044863437;546.0;12040.0;45.0;0.0;12.0;6.0;0.0;12.0;15.0;3.0;3.0;3.0;35.0
46072;Bocairent;0.8;117.4;0.6499146857221916;4130.0;14321.0;187.0;3.0;22.0;51.0;3.0;28.0;80.0;3.0;48.0;16.0;114.0
46073;Bolbaite;0.8;76.6;0.5962702639228143;1320.0;11939.0;77.0;3.0;9.0;18.0;6.0;9.0;33.0;5.0;12.0;5.0;52.0
46074;Bonrepòs;0.8;76.6;0.6653455140519086;4115.0;13497.0;209.0;7.0;31.0;45.0;8.0;36.0;82.0;3.0;30.0;13.0;156.0
46075;Bufali;0.8;76.6;0.8105569444134937;162.0;12818.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;3.0
46076;Bugarra;0.8;76.6;0.6963755363906803;774.0;13633.0;20.0;3.0;3.0;7.0;0.0;6.0;3.0;3.0;0.0;3.0;13.0
46077;Buñol;0.8;76.6;0.6340242487220188;9858.0;13525.0;530.0;13.0;66.0;125.0;14.0;109.0;203.0;6.0;111.0;31.0;356.0
46078;Burjassot;-2.0;76.6;0.584260016722148;41299.0;12111.0;3120.0;139.0;471.0;641.0;126.0;713.0;1030.0;34.0;295.0;251.0;2430.0
46079;Calles;0.8;76.6;0.604118478513245;465.0;13720.0;40.0;3.0;3.0;12.0;0.0;8.0;14.0;0.0;3.0;3.0;32.0
46080;Camporrobles;0.8;76.6;0.6288207768521366;1183.0;11909.0;54.0;3.0;3.0;10.0;3.0;16.0;23.0;7.0;3.0;5.0;37.0
46081;Canals;0.8;76.6;0.5511629507037881;13746.0;11984.0;939.0;22.0;90.0;202.0;17.0;160.0;448.0;31.0;219.0;65.0;575.0
46082;Canet;0.8;76.6;0.7670686206012322;8297.0;16891.0;283.0;12.0;37.0;60.0;9.0;65.0;100.0;3.0;22.0;15.0;211.0
46083;Carcaixent;0.8;76.6;0.6074567795422482;21934.0;12600.0;1221.0;47.0;161.0;218.0;46.0;297.0;452.0;46.0;181.0;76.0;809.0
46084;Càrcer;0.8;117.4;0.6534499080429729;1795.0;12847.0;73.0;3.0;9.0;11.0;3.0;23.0;24.0;6.0;10.0;3.0;49.0
46085;Carlet;0.8;76.6;0.5983868410389005;16857.0;12565.0;894.0;41.0;128.0;171.0;42.0;251.0;261.0;90.0;106.0;37.0;549.0
46086;Carrícola;0.8;76.6;0.5430875846671247;97.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0
46087;Casas;0.8;76.6;0.560409409678365;118.0;12068.0;6.0;3.0;0.0;3.0;0.0;3.0;3.0;0.0;3.0;0.0;3.0
46088;Casas;0.8;76.6;0.6172956615755044;158.0;12032.0;11.0;0.0;3.0;3.0;0.0;3.0;5.0;0.0;3.0;0.0;9.0
46089;Casinos;0.8;76.6;0.6372096812376684;3153.0;12972.0;178.0;6.0;19.0;41.0;8.0;35.0;69.0;5.0;26.0;13.0;130.0
46090;Castelló;-2.0;76.6;0.6892283805424301;2345.0;12008.0;63.0;3.0;8.0;9.0;0.0;13.0;29.0;3.0;14.0;0.0;46.0
46091;Castellonet;0.8;76.6;0.7120319925550788;159.0;16176.0;12.0;0.0;3.0;3.0;0.0;3.0;3.0;0.0;0.0;3.0;11.0
46092;Castielfabib;0.8;76.6;0.6303837209647041;284.0;11948.0;14.0;3.0;0.0;5.0;0.0;3.0;3.0;0.0;3.0;3.0;10.0
