Codigo_municipio;Municipios;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;Demanda_score;Demanda_comedor
46197;Polinyà;2577.0;13072.0;120.0;6.0;11.0;28.0;3.0;31.0;40.0;3.0;13.0;10.0;87.0;0.12334145620239678;2
46198;Potries;1135.0;14346.0;51.0;3.0;6.0;10.0;5.0;14.0;12.0;3.0;3.0;3.0;42.0;0.10483594124743639;2
46199;Pobla;9255.0;14863.0;458.0;15.0;56.0;107.0;9.0;107.0;164.0;7.0;55.0;33.0;342.0;0.10412063194362006;2
46200;Pobla;2451.0;12942.0;46.0;3.0;7.0;12.0;3.0;7.0;17.0;3.0;7.0;3.0;31.0;0.12444517895436309;2
46201;Puebla;53.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.3000443474040109;3
46202;Pobla;27471.0;15061.0;1469.0;64.0;203.0;301.0;54.0;298.0;549.0;25.0;209.0;113.0;1061.0;0.11648720897659763;2
46203;Pobla;4665.0;12875.0;202.0;10.0;26.0;35.0;8.0;58.0;65.0;3.0;23.0;9.0;143.0;0.1274732387873905;2
46204;Puig;9490.0;16616.0;448.0;18.0;61.0;120.0;14.0;70.0;165.0;6.0;53.0;27.0;344.0;0.08016942388645565;2
46205;Puçol;21659.0;15632.0;977.0;37.0;121.0;167.0;27.0;238.0;387.0;15.0;115.0;64.0;729.0;0.10244058031990194;2
46206;Quesa;691.0;11762.0;52.0;3.0;10.0;16.0;0.0;8.0;16.0;3.0;8.0;3.0;38.0;0.13998975980273826;2
46207;Rafelbunyol;9974.0;14354.0;504.0;23.0;67.0;88.0;16.0;118.0;192.0;8.0;77.0;27.0;372.0;0.11172138986471526;2
46208;Rafelcofer;1409.0;13906.0;64.0;3.0;8.0;13.0;3.0;19.0;22.0;3.0;6.0;8.0;48.0;0.11105540820535839;2
46209;Rafelguaraf;2395.0;12414.0;80.0;3.0;13.0;23.0;3.0;16.0;23.0;6.0;17.0;8.0;48.0;0.1319272517171821;2
